adenoma	DOID_657	hsa-let-7a	normal	Northern blot, qRT-PCR etc	2007.0	Disrupting the pairing between let-7 and Hmga2 enhances oncogenic transformation.
hypertension	DOID_10763	hsa-mir-155	normal	Northern blot, qRT-PCR etc	2008.0	Human microRNA-155 on chromosome 21 differentially interacts with its polymorphic target in the AGTR1 3' untranslated region: a mechanism for functional single-nucleotide polymorphisms related to phenotypes.
kidney cancer	DOID_4451	hsa-let-7f-2	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
kidney cancer	DOID_4451	hsa-mir-20a	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-20b	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-21	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-210	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-214	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-26a	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-27a	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-29a	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-29b	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-378	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-424	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-489	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-532-5p	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-720	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-122	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-126	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-7-2	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
kidney cancer	DOID_4451	hsa-mir-185	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
kidney cancer	DOID_4451	hsa-mir-200c	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-29c	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-340	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-342-3p	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-150	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-151-5p	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-15a	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-17	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-191	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-199a	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-19b	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-200b	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-101	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-106a	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-106b	up-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-182	down-regulated	microarray	2009.0	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
kidney cancer	DOID_4451	hsa-mir-28	up-regulated	microarray	2007.0	Micro-RNA profiling in kidney and bladder cancers.
kidney cancer	DOID_4451	hsa-mir-141	down-regulated	northern blot, qRT-PCR etc	2009.0	Genome-wide microRNA expression profiling in renal cell carcinoma: significant down-regulation of miR-141 and miR-200c.
kidney cancer	DOID_4451	hsa-mir-200c	down-regulated	northern blot, qRT-PCR etc	2009.0	Genome-wide microRNA expression profiling in renal cell carcinoma: significant down-regulation of miR-141 and miR-200c.
laryngeal carcinoma	DOID_6624 	hsa-let-7a	down-regulated	northern blot, qRT-PCR etc	2009.0	Let-7a microRNA functions as a potential tumor suppressor in human laryngeal cancer
laryngeal carcinoma	DOID_6624 	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Regulation of the cell cycle gene, BTG2, by miR-21 in human laryngeal carcinoma.
lipoma	DOID_9291	hsa-let-7a	normal	Northern blot, qRT-PCR etc	2007.0	Disrupting the pairing between let-7 and Hmga2 enhances oncogenic transformation.
lung cancer	DOID_3905	hsa-let-7g	down-regulated	Northern blot, qRT-PCR etc	2007.0	The let-7 microRNA represses cell proliferation pathways in human cells.
lung cancer	DOID_3905	hsa-mir-21	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
lung cancer	DOID_3905	hsa-mir-150	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-146a	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-let-7d	down-regulated	Northern blot, qRT-PCR etc	2007.0	The let-7 microRNA represses cell proliferation pathways in human cells.
lung cancer	DOID_3905	hsa-let-7e	down-regulated	Northern blot, qRT-PCR etc	2007.0	The tumor suppressor microRNA let-7 represses the HMGA2 oncogene.
lung cancer	DOID_3905	hsa-let-7f	down-regulated	Northern blot, qRT-PCR etc	2004.0	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
lung cancer	DOID_3905	hsa-mir-125a	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-183	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-20a	up-regulated	northern blot, qRT-PCR etc	2009.0	Counterbalance between RB inactivation and miR-17-92 overexpression in reactive oxygen species and DNA damage induction in lung cancers.
lung cancer	DOID_3905	hsa-mir-21	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	MiR-21 is an EGFR-regulated anti-apoptotic factor in lung cancer in never-smokers.
lung cancer	DOID_3905	hsa-mir-210	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-218	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-22	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-423	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-425-5p	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-451	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-497	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-511	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-7	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-125a-5p	down-regulated	northern blot, qRT-PCR etc	2009.0	Epidermal growth factor receptor-regulated miR-125a-5p - a metastatic inhibitor
lung cancer	DOID_3905	hsa-mir-126	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-126*	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-130a	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-133b	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-139	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-141	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-200c	down-regulated	northern blot, qRT-PCR etc	2009.0	Contextual extracellular cues promote tumor cell EMT and metastasis by regulating miR-200 family expression
lung cancer	DOID_3905	hsa-mir-429	down-regulated	northern blot, qRT-PCR etc	2009.0	Contextual extracellular cues promote tumor cell EMT and metastasis by regulating miR-200 family expression
lung cancer	DOID_3905	hsa-mir-1	down-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-143	down-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-130a	up-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-146b	up-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-31	up-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-377	up-regulated	northern blot, qRT-PCR etc	2009.0	Alteration of microRNA expression in vinyl-carbamate-induced mouse lung tumors and modulation by the chemopreventive agent indole-3-carbinol
lung cancer	DOID_3905	hsa-mir-141	down-regulated	northern blot, qRT-PCR etc	2009.0	Contextual extracellular cues promote tumor cell EMT and metastasis by regulating miR-200 family expression
lung cancer	DOID_3905	hsa-mir-200a	down-regulated	northern blot, qRT-PCR etc	2009.0	Contextual extracellular cues promote tumor cell EMT and metastasis by regulating miR-200 family expression
lung cancer	DOID_3905	hsa-mir-200b	down-regulated	northern blot, qRT-PCR etc	2009.0	Contextual extracellular cues promote tumor cell EMT and metastasis by regulating miR-200 family expression
lung cancer	DOID_3905	hsa-mir-29a	down-regulated	northern blot, qRT-PCR etc	2009.0	MiRNA-29a regulates the expression of numerous proteins and reduces the invasiveness and proliferation of human carcinoma cell lines
lung cancer	DOID_3905	hsa-let-7a	down-regulated	northern blot, qRT-PCR etc	2009.0	Let-7a elevates p21(WAF1) levels by targeting of NIRF and suppresses the growth of A549 lung cancer cells
lung cancer	DOID_3905	hsa-mir-17-3p	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-17-3p	up-regulated	Northern blot, qRT-PCR etc	2005.0	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
lung cancer	DOID_3905	hsa-mir-30a-5p	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-19a	up-regulated	Northern blot, qRT-PCR etc	2005.0	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
lung cancer	DOID_3905	hsa-mir-24-2	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-32	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-182	up-regulated	northern blot, qRT-PCR etc	2009.0	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
lung cancer	DOID_3905	hsa-mir-183	up-regulated	northern blot, qRT-PCR etc	2009.0	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
lung cancer	DOID_3905	hsa-mir-155	up-regulated	Northern blot, qRT-PCR etc	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-204	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-30a-3p	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-30e-3p	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-30e-5p	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-324-3p	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-324-5p	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-335	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-338	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-339	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-345	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-143	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-16	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-195	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-197	up-regulated	northern blot, qRT-PCR etc	2009.0	miR-93, miR-98, and miR-197 regulate expression of tumor suppressor gene FUS1.
lung cancer	DOID_3905	hsa-mir-9	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-9*	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-93	up-regulated	northern blot, qRT-PCR etc	2009.0	miR-93, miR-98, and miR-197 regulate expression of tumor suppressor gene FUS1.
lung cancer	DOID_3905	hsa-mir-98	up-regulated	northern blot, qRT-PCR etc	2009.0	miR-93, miR-98, and miR-197 regulate expression of tumor suppressor gene FUS1.
lung cancer	DOID_3905	hsa-mir-182*	up-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-let-7c	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-101	down-regulated	microarray	2009.0	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
lung cancer	DOID_3905	hsa-mir-17-5p	up-regulated	northern blot, qRT-PCR etc	2009.0	Counterbalance between RB inactivation and miR-17-92 overexpression in reactive oxygen species and DNA damage induction in lung cancers.
lung cancer	DOID_3905	hsa-mir-203	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-26a-1	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-125b-2	down-regulated	Northern blot, qRT-PCR etc	2007.0	Homozygous deletion scanning of the lung cancer genome at a 100-kb resolution.
lung cancer	DOID_3905	hsa-mir-17-5p	up-regulated	Northern blot, qRT-PCR etc	2007.0	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
lung cancer	DOID_3905	hsa-mir-17-5p	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
lung cancer	DOID_3905	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
lung cancer	DOID_3905	hsa-mir-210 	up-regulated	northern blot, qRT-PCR etc	2009.0	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
lung cancer	DOID_3905	hsa-mir-126*	down-regulated	northern blot, qRT-PCR etc	2009.0	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
lung cancer	DOID_3905	hsa-mir-7	down-regulated	northern blot, qRT-PCR etc	2009.0	Regulation of epidermal growth factor receptor signaling in human cancer cells by microRNA-7.
lung cancer	DOID_3905	hsa-mir-101-1	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-106a	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-124a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Genetic unmasking of an epigenetically silenced microRNA in human cancer cells.
lung cancer	DOID_3905	hsa-mir-126	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-126*	down-regulated	Northern blot, qRT-PCR etc	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-9	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-140	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-124a-3	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-145	down-regulated	northern blot, qRT-PCR etc	2009.0	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
lung cancer	DOID_3905	hsa-mir-27b	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-33	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-145	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-210	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-212	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-155	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
lung cancer	DOID_3905	hsa-mir-29a	down-regulated	Northern blot, qRT-PCR etc	2007.0	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
lung cancer	DOID_3905	hsa-mir-95	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-128b	down-regulated	Northern blot, qRT-PCR etc	2008.0	EGFR regulation by microRNA in lung cancer: correlation with clinical response and survival to gefitinib and EGFR expression in cell lines.
lung cancer	DOID_3905	hsa-mir-128b	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
lung cancer	DOID_3905	hsa-mir-220	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-183	down-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA-183 regulates Ezrin expression in lung cancer cells.
lung cancer	DOID_3905	hsa-mir-29b	down-regulated	Northern blot, qRT-PCR etc	2007.0	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
lung cancer	DOID_3905	hsa-mir-1	down-regulated	Northern blot, qRT-PCR etc	2008.0	Downregulation of microRNA-1 (miR-1) in lung cancer: Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin induced apoptosis bymiR-1.
lung cancer	DOID_3905	hsa-let-7a	down-regulated	Northern blot, qRT-PCR etc	2004.0	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
lung cancer	DOID_3905	hsa-let-7a	down-regulated	Northern blot, qRT-PCR etc	2005.0	RAS is regulated by the let-7 microRNA family.
lung cancer	DOID_3905	hsa-let-7a	down-regulated	Northern blot, qRT-PCR etc	2007.0	The let-7 microRNA represses cell proliferation pathways in human cells.
lung cancer	DOID_3905	hsa-mir-20a	up-regulated	Northern blot, qRT-PCR etc	2005.0	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
lung cancer	DOID_3905	hsa-mir-20a	up-regulated	Northern blot, qRT-PCR etc	2007.0	Apoptosis induction by antisense oligonucleotides against miR-17-5p and miR-20a in lung cancers overexpressing miR-17-92.
lung cancer	DOID_3905	hsa-mir-197	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-198	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-214	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-216	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-99a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Homozygous deletion scanning of the lung cancer genome at a 100-kb resolution.
lung cancer	DOID_3905	hsa-mir-29b-2	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-205	up-regulated	Northern blot, qRT-PCR etc	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-199a-1	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
lung cancer	DOID_3905	hsa-mir-18a	up-regulated	Northern blot, qRT-PCR etc	2005.0	A polycistronic microRNA cluster, miR-17-92, is overexpressed in human lung cancers and enhances cell proliferation.
lung cancer	DOID_3905	hsa-mir-191	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
lung cancer	DOID_3905	hsa-mir-191	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-192	up-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-let-7a-2	down-regulated	Northern blot, qRT-PCR etc	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-let-7a-3	up-regulated	Northern blot, qRT-PCR etc	2007.0	The human let-7a-3 locus contains an epigenetically regulated microRNA gene with oncogenic function.
lung cancer	DOID_3905	hsa-let-7b	down-regulated	Northern blot, qRT-PCR etc	2007.0	The tumor suppressor microRNA let-7 represses the HMGA2 oncogene.
lung cancer	DOID_3905	hsa-let-7b	down-regulated	Northern blot, qRT-PCR etc	2007.0	The let-7 microRNA represses cell proliferation pathways in human cells.
lung cancer	DOID_3905	hsa-mir-224	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
lung cancer	DOID_3905	hsa-mir-29c	down-regulated	Northern blot, qRT-PCR etc	2007.0	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
lung cancer	DOID_3905	hsa-mir-124a-1	down-regulated	microarray	2006.0	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
